Year,City,Sport,Discipline,NOC,Event,Gender,Medal,Country,Latitude,Longitude
1964,Innsbruck,Skating,Speed skating,SWE,10000m,M,Gold,Sweden,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,SWE,15km,M,Bronze,Sweden,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,SWE,3x5km relay,W,Silver,Sweden,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,SWE,4x10km relay,M,Gold,Sweden,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,SWE,50km,M,Gold,Sweden,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,SWE,50km,M,Silver,Sweden,47.2711,11.4038
1964,Innsbruck,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Bronze,Czechoslovakia,47.2711,11.4038
1964,Innsbruck,Biathlon,Biathlon,URS,20km,M,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Biathlon,Biathlon,URS,20km,M,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Figure skating,URS,pairs,X,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,1000m,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,1000m,W,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,1500m,M,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,1500m,W,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,1500m,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,3000m,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,3000m,W,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,500m,M,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,500m,M,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,500m,W,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,500m,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,URS,500m,W,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,10km,W,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,10km,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,10km,W,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,30km mass start,M,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,3x5km relay,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,4x10km relay,M,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,5km,W,Bronze,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Cross Country S,URS,5km,W,Gold,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skiing,Nordic Combined,URS,individual,M,Silver,Soviet Union,47.2711,11.4038
1964,Innsbruck,Skating,Figure skating,USA,individual,M,Bronze,United States,47.2711,11.4038
1964,Innsbruck,Skating,Speed skating,USA,500m,M,Gold,United States,47.2711,11.4038
1964,Innsbruck,Skiing,Alpine Skiing,USA,giant slalom,W,Silver,United States,47.2711,11.4038
1964,Innsbruck,Skiing,Alpine Skiing,USA,slalom,M,Bronze,United States,47.2711,11.4038
1964,Innsbruck,Skiing,Alpine Skiing,USA,slalom,M,Silver,United States,47.2711,11.4038
1964,Innsbruck,Skiing,Alpine Skiing,USA,slalom,W,Bronze,United States,47.2711,11.4038
1968,Grenoble,Bobsleigh,Bobsleigh,AUT,four-man,M,Silver,Austria,45.1841,5.7238
1968,Grenoble,Luge,Luge,AUT,doubles,X,Silver,Austria,45.1841,5.7238
1968,Grenoble,Luge,Luge,AUT,singles,M,Gold,Austria,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,AUT,individual,M,Gold,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,AUT,downhill,W,Bronze,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,AUT,downhill,W,Gold,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,AUT,slalom,M,Bronze,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,AUT,slalom,M,Silver,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Bronze,Austria,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Silver,Austria,45.1841,5.7238
1968,Grenoble,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Bronze,Canada,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,CAN,giant slalom,W,Gold,Canada,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,CAN,slalom,W,Silver,Canada,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,FIN,1500m,W,Gold,Finland,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,FIN,3000m,W,Silver,Finland,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,FIN,15km,M,Silver,Finland,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,FIN,30km mass start,M,Bronze,Finland,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,FIN,4x10km relay,M,Bronze,Finland,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,FRA,individual,M,Bronze,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,downhill,M,Gold,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,downhill,M,Silver,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,downhill,W,Silver,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,giant slalom,M,Gold,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,giant slalom,W,Silver,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,slalom,M,Gold,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,slalom,W,Bronze,France,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,FRA,slalom,W,Gold,France,45.1841,5.7238
1968,Grenoble,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver,West Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,FRG,doubles,X,Bronze,West Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,FRG,singles,W,Bronze,West Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,FRG,singles,W,Silver,West Germany,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,FRG,pairs,X,Bronze,West Germany,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,FRG,500m,M,Gold,West Germany,45.1841,5.7238
1968,Grenoble,Skiing,Nordic Combined,FRG,individual,M,Gold,West Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,GDR,doubles,X,Gold,East Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,GDR,singles,M,Bronze,East Germany,45.1841,5.7238
1968,Grenoble,Luge,Luge,GDR,singles,M,Silver,East Germany,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,GDR,individual,W,Silver,East Germany,45.1841,5.7238
1968,Grenoble,Skiing,Nordic Combined,GDR,individual,M,Bronze,East Germany,45.1841,5.7238
1968,Grenoble,Bobsleigh,Bobsleigh,ITA,four-man,M,Gold,Italy,45.1841,5.7238
1968,Grenoble,Bobsleigh,Bobsleigh,ITA,two-man,M,Gold,Italy,45.1841,5.7238
1968,Grenoble,Luge,Luge,ITA,singles,W,Gold,Italy,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,ITA,30km mass start,M,Gold,Italy,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,1000m,W,Gold,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,1500m,M,Gold,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,1500m,M,Silver,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,1500m,W,Bronze,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,1500m,W,Silver,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,3000m,W,Bronze,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,3000m,W,Gold,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,5000m,M,Bronze,Netherlands,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NED,5000m,M,Silver,Netherlands,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,NOR,20km,M,Gold,Norway,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,NOR,4x7.5km relay,M,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NOR,10000m,M,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NOR,1500m,M,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NOR,5000m,M,Gold,Norway,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,NOR,500m,M,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,10km,W,Bronze,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,10km,W,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,15km,M,Gold,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,30km mass start,M,Silver,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,3x5km relay,W,Gold,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,4x10km relay,M,Gold,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,NOR,50km,M,Gold,Norway,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,NOR,K120 individual (90m),M,Bronze,Norway,45.1841,5.7238
1968,Grenoble,Bobsleigh,Bobsleigh,ROU,two-man,M,Bronze,Romania,45.1841,5.7238
1968,Grenoble,Bobsleigh,Bobsleigh,SUI,four-man,M,Bronze,Switzerland,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,SUI,downhill,M,Bronze,Switzerland,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,SUI,giant slalom,M,Silver,Switzerland,45.1841,5.7238
1968,Grenoble,Skiing,Alpine Skiing,SUI,giant slalom,W,Bronze,Switzerland,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SUI,50km,M,Bronze,Switzerland,45.1841,5.7238
1968,Grenoble,Skiing,Nordic Combined,SUI,individual,M,Silver,Switzerland,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,SWE,4x7.5km relay,M,Bronze,Sweden,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,SWE,10000m,M,Bronze,Sweden,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,SWE,10000m,M,Gold,Sweden,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SWE,10km,W,Gold,Sweden,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SWE,15km,M,Bronze,Sweden,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SWE,3x5km relay,W,Silver,Sweden,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SWE,4x10km relay,M,Silver,Sweden,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,SWE,5km,W,Gold,Sweden,45.1841,5.7238
1968,Grenoble,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver,Czechoslovakia,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,TCH,individual,W,Bronze,Czechoslovakia,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,TCH,K120 individual (90m),M,Silver,Czechoslovakia,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Gold,Czechoslovakia,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,URS,20km,M,Bronze,Soviet Union,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,URS,20km,M,Silver,Soviet Union,45.1841,5.7238
1968,Grenoble,Biathlon,Biathlon,URS,4x7.5km relay,M,Gold,Soviet Union,45.1841,5.7238
1968,Grenoble,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,Soviet Union,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,URS,pairs,X,Gold,Soviet Union,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,URS,pairs,X,Silver,Soviet Union,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,URS,1000m,W,Silver,Soviet Union,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,URS,500m,W,Gold,Soviet Union,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,URS,3x5km relay,W,Bronze,Soviet Union,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,URS,50km,M,Silver,Soviet Union,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,URS,5km,W,Bronze,Soviet Union,45.1841,5.7238
1968,Grenoble,Skiing,Cross Country S,URS,5km,W,Silver,Soviet Union,45.1841,5.7238
1968,Grenoble,Skiing,Ski Jumping,URS,K120 individual (90m),M,Gold,Soviet Union,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,USA,individual,M,Silver,United States,45.1841,5.7238
1968,Grenoble,Skating,Figure skating,USA,individual,W,Gold,United States,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,USA,1000m,W,Bronze,United States,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,USA,500m,M,Silver,United States,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,United States,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,United States,45.1841,5.7238
1968,Grenoble,Skating,Speed skating,USA,500m,W,Silver,United States,45.1841,5.7238
1972,Sapporo,Skating,Figure skating,AUT,individual,W,Gold,Austria,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze,Austria,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,W,Silver,Austria,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze,Austria,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver,Austria,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,CAN,individual,W,Silver,Canada,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,ESP,slalom,M,Gold,Spain,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,FIN,4x7.5km relay,M,Silver,Finland,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,FIN,10km,W,Bronze,Finland,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,FIN,3x5km relay,W,Silver,Finland,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,FIN,5km,W,Silver,Finland,43.0234,141.3345
1972,Sapporo,Skiing,Nordic Combined,FIN,individual,M,Silver,Finland,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,FRA,individual,M,Bronze,France,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Bronze,France,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Silver,France,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,four-man,M,Bronze,West Germany,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold,West Germany,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver,West Germany,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,FRG,1000m,W,Gold,West Germany,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,FRG,500m,M,Gold,West Germany,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,GDR,20km,M,Silver,East Germany,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,GDR,4x7.5km relay,M,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,doubles,X,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,doubles,X,Gold,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,M,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,M,Gold,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,M,Silver,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,W,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,W,Gold,East Germany,43.0234,141.3345
1972,Sapporo,Luge,Luge,GDR,singles,W,Silver,East Germany,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,GDR,pairs,X,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Gold,East Germany,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,GDR,K120 individual (90m),M,Bronze,East Germany,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver,Italy,43.0234,141.3345
1972,Sapporo,Luge,Luge,ITA,doubles,X,Gold,Italy,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,ITA,giant slalom,M,Gold,Italy,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Bronze,Italy,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Silver,Italy,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Bronze,Japan,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Gold,Japan,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Silver,Japan,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Gold,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Silver,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,1000m,W,Silver,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,1500m,M,Gold,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Bronze,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Silver,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Bronze,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Gold,Netherlands,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NED,5000m,M,Gold,Netherlands,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,NOR,20km,M,Gold,Norway,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NOR,10000m,M,Bronze,Norway,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NOR,1500m,M,Silver,Norway,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Bronze,Norway,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Silver,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,15km,M,Bronze,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Bronze,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Silver,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,3x5km relay,W,Bronze,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,4x10km relay,M,Silver,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,50km,M,Gold,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,NOR,50km,M,Silver,Norway,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,POL,K120 individual (90m),M,Gold,Poland,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold,Switzerland,43.0234,141.3345
1972,Sapporo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,M,Gold,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,M,Silver,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,downhill,W,Gold,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,M,Bronze,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,M,Silver,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,SUI,giant slalom,W,Gold,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,SUI,4x10km relay,M,Bronze,Switzerland,43.0234,141.3345
1972,Sapporo,Skiing,Ski Jumping,SUI,K120 individual (90m),M,Silver,Switzerland,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,SWE,20km,M,Bronze,Sweden,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,SWE,1500m,M,Bronze,Sweden,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,SWE,500m,M,Silver,Sweden,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,SWE,15km,M,Gold,Sweden,43.0234,141.3345
1972,Sapporo,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Bronze,Czechoslovakia,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,TCH,individual,M,Gold,Czechoslovakia,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,TCH,5km,W,Bronze,Czechoslovakia,43.0234,141.3345
1972,Sapporo,Biathlon,Biathlon,URS,4x7.5km relay,M,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,URS,individual,M,Silver,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,URS,pairs,X,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,URS,pairs,X,Silver,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,URS,500m,M,Bronze,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,URS,500m,W,Bronze,Soviet Union,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,URS,500m,W,Silver,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,10km,W,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,10km,W,Silver,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,15km,M,Silver,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,30km mass start,M,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,3x5km relay,W,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,4x10km relay,M,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,50km,M,Bronze,Soviet Union,43.0234,141.3345
1972,Sapporo,Skiing,Cross Country S,URS,5km,W,Gold,Soviet Union,43.0234,141.3345
1972,Sapporo,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver,United States,43.0234,141.3345
1972,Sapporo,Skating,Figure skating,USA,individual,W,Bronze,United States,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,USA,1000m,W,Bronze,United States,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,USA,1500m,W,Gold,United States,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,USA,3000m,W,Silver,United States,43.0234,141.3345
1972,Sapporo,Skating,Speed skating,USA,500m,W,Gold,United States,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,USA,downhill,W,Bronze,United States,43.0234,141.3345
1972,Sapporo,Skiing,Alpine Skiing,USA,slalom,W,Gold,United States,43.0234,141.3345
1976,Innsbruck,Luge,Luge,AUT,doubles,X,Bronze,Austria,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,AUT,downhill,M,Gold,Austria,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,AUT,downhill,W,Silver,Austria,47.2711,11.4038
1976,Innsbruck,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Gold,Austria,47.2711,11.4038
1976,Innsbruck,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Silver,Austria,47.2711,11.4038
1976,Innsbruck,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Bronze,Austria,47.2711,11.4038
1976,Innsbruck,Skating,Figure skating,CAN,individual,M,Bronze,Canada,47.2711,11.4038
1976,Innsbruck,Skating,Speed skating,CAN,500m,W,Silver,Canada,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,CAN,giant slalom,W,Gold,Canada,47.2711,11.4038
1976,Innsbruck,Biathlon,Biathlon,FIN,20km,M,Silver,Finland,47.2711,11.4038
1976,Innsbruck,Biathlon,Biathlon,FIN,4x7.5km relay,M,Silver,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Cross Country S,FIN,10km,W,Silver,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Cross Country S,FIN,15km,M,Bronze,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Cross Country S,FIN,4x10km relay,M,Gold,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Cross Country S,FIN,4x5km relay,W,Silver,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Cross Country S,FIN,5km,W,Gold,Finland,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,FRA,giant slalom,W,Bronze,France,47.2711,11.4038
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,four-man,M,Bronze,West Germany,47.2711,11.4038
1976,Innsbruck,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver,West Germany,47.2711,11.4038
1976,Innsbruck,Ice Hockey,Ice Hockey,FRG,ice hockey,M,Bronze,West Germany,47.2711,11.4038
1976,Innsbruck,Luge,Luge,FRG,doubles,X,Silver,West Germany,47.2711,11.4038
1976,Innsbruck,Luge,Luge,FRG,singles,M,Silver,West Germany,47.2711,11.4038
1976,Innsbruck,Luge,Luge,FRG,singles,W,Bronze,West Germany,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,FRG,downhill,W,Gold,West Germany,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,FRG,giant slalom,W,Silver,West Germany,47.2711,11.4038
1976,Innsbruck,Skiing,Alpine Skiing,FRG,slalom,W,Gold,West Germany,47.2711,11.4038
1976,Innsbruck,Skiing,Nordic Combined,FRG,individual,M,Silver,West Germany,47.2711,11.4038
